Neighbourhood,Code,Group,Taking everything into account how good a job do you think the police in your area are doing?,The police are dealing with the things that matter to this community,The police can be relied upon to be there when needed,The police treat everyone fairly regardless of who they are,The police listen to the concerns of local people,I feel well informed about local police activities over the last 12 months,How to contact their local SNT or ward officer,The police would treat you with respect if you had contact with them for any reason,How well do you think the police tackle gun crime?,How well do you think the police tackle drug dealing and drug use?,Are gangs a problem in this area?,Are you worried about ASB in this area?,Are you worried about crime in this area?,How safe do you feel walking alone in this area after dark?,How well do you think the Metropolitan Police provide a visible patrolling presence,Are you satisfied with your life as a whole nowadays?,The police in this area are friendly and approachable,The police in this area understand the issues that affect this community,Total Notifiable Offences rate
Kensington and Chelsea - Chelsea,BS-BY,Group 2,76,79,85,77,81,43,26,91,79,69,95,87,82,94,59,88,87,81,N/A
Kensington and Chelsea - Kensington,BS-BK,Group 2,83,81,86,77,85,45,31,92,90,76,96,92,82,93,71,92,91,85,N/A
Kensington and Chelsea - Notting Hill,BS-BA,Group 11,77,78,85,74,76,39,32,92,80,76,85,85,78,88,70,87,87,80,N/A
Kingston upon Thames - North,VK-VN,Group 4,75,74,77,73,76,56,50,92,67,61,92,85,72,91,52,84,89,81,N/A
Kingston upon Thames - South,VK-VS,Group 4,72,71,79,73,77,51,41,92,67,56,90,85,72,87,52,81,90,78,N/A
Lambeth - Central,LX-LC,Group 10,69,77,75,64,78,44,38,89,73,58,74,81,71,90,58,85,86,81,N/A
Lambeth - North,LX-LN,Group 10,71,68,82,74,73,44,33,92,66,58,68,74,69,85,58,85,88,78,N/A
Lambeth - South,LX-LR,Group 5,65,72,76,75,74,42,38,90,70,60,76,80,65,84,50,81,86,79,N/A
Lewisham - Central,PL-PZ,Group 5,63,71,76,67,73,41,44,89,64,58,76,83,70,83,53,84,87,71,N/A
Lewisham - North,PL-PK,Group 5,65,75,78,71,75,40,39,91,68,61,77,79,71,83,48,83,83,78,N/A
Lewisham - South,PL-PS,Group 5,58,69,75,73,70,39,43,91,65,60,72,80,59,84,45,78,83,75,N/A
Merton - Mitcham,VW-VM,Group 6,61,63,73,69,72,34,29,90,64,58,78,70,61,74,46,79,85,74,N/A
Merton - Morden,VW-VR,Group 4,66,71,81,76,78,53,42,95,66,62,91,85,65,86,53,85,94,79,N/A
Merton - Wimbledon,VW-VQ,Group 1,75,70,72,67,73,43,36,91,60,54,94,87,78,93,51,90,89,76,N/A
Newham - Central,KF-KO,Group 7,67,74,79,77,73,47,34,81,62,54,72,73,62,69,53,73,84,76,N/A
Newham - East,KF-KE,Group 7,70,72,82,74,75,51,35,82,66,56,77,69,62,71,59,82,84,76,N/A
Newham - South,KF-KN,Group 7,69,77,85,79,77,38,28,80,73,63,83,74,66,76,66,83,88,79,N/A
Newham - West,KF-KS,Group 7,70,78,79,81,76,45,33,85,56,58,74,73,65,73,61,83,88,80,N/A
Redbridge - Central,JI-JB,Group 12,69,69,79,80,76,42,33,86,64,57,89,79,59,75,60,77,84,78,N/A
Redbridge - South,JI-JQ,Group 6,65,71,81,82,76,40,40,92,67,57,78,64,54,65,68,80,88,81,N/A
Redbridge - West,JI-JN,Group 4,66,72,77,82,76,40,30,85,71,69,90,81,68,80,60,84,86,80,N/A
Richmond upon Thames - Richmond,TW-TR,Group 4,78,76,82,78,82,60,46,93,74,62,97,90,80,95,53,90,92,83,N/A
Richmond upon Thames - Teddington,TW-TT,Group 4,76,79,82,75,78,55,44,96,74,58,98,93,76,93,50,86,91,82,N/A
Richmond upon Thames - Twickenham,TW-TZ,Group 4,79,72,79,71,71,57,49,94,65,62,90,85,72,89,48,85,92,80,N/A
Southwark - North-East,MD-MR,Group 10,77,83,86,76,79,35,40,87,80,70,79,81,74,89,64,84,88,80,N/A
Southwark - North-West,MD-MS,Group 10,65,75,80,77,77,35,30,93,70,66,82,84,77,86,51,83,86,79,N/A
Southwark - South-East,MD-MM,Group 5,73,77,83,69,77,46,33,93,79,69,79,80,72,80,56,80,87,77,N/A
Southwark - South-West,MD-MC,Group 5,74,78,83,70,77,42,41,90,69,59,85,82,73,89,54,85,90,82,N/A
Sutton - East,ZT-ZW,Group 8,71,81,79,77,83,46,38,92,69,65,93,87,77,83,51,79,91,84,N/A
Sutton - North,ZT-ZZ,Group 9,68,69,80,77,77,42,39,92,63,58,84,79,70,83,48,84,92,79,N/A
Sutton - West,ZT-ZR,Group 4,75,74,78,75,82,52,41,92,63,60,94,85,72,86,54,85,90,83,N/A
Tower Hamlets - Bow and Mile End,HT-HW,Group 10,65,82,78,79,82,47,34,92,71,58,67,75,68,83,55,83,88,86,N/A
Tower Hamlets - Bricklane and Globe,HT-HR,Group 10,65,71,78,76,72,47,38,90,70,51,61,70,63,83,64,83,88,77,N/A
Tower Hamlets - Poplar Isle of Dogs,HT-HI,Group 10,65,74,77,81,78,38,32,86,80,68,72,80,73,86,58,81,88,79,N/A
Tower Hamlets - Stepney and Wapping,HT-HA,Group 10,65,77,79,78,81,46,40,94,76,55,64,75,62,79,54,86,91,82,N/A
Waltham Forest - Central,JC-JW,Group 7,69,66,75,72,67,36,37,88,66,54,73,71,60,68,58,77,87,73,N/A
Waltham Forest - North,JC-JZ,Group 9,74,78,79,81,82,45,39,92,73,69,85,84,67,80,59,86,90,84,N/A
Waltham Forest - South,JC-JL,Group 7,67,72,77,77,74,33,26,88,62,58,78,72,59,73,56,79,84,79,N/A
Wandsworth - Battersea,WW-WL,Group 1,66,70,77,67,70,51,27,91,72,63,84,87,82,87,50,86,86,74,N/A
Wandsworth - Putney,WW-WP,Group 1,70,74,79,73,74,40,24,93,68,63,91,90,82,93,49,87,88,76,N/A
Wandsworth - Tooting,WW-WD,Group 1,71,70,77,74,71,39,33,92,68,59,89,86,80,90,48,85,87,79,N/A
Westminster - Central,CW-CA,Group 2,82,85,90,84,87,44,27,93,87,77,92,83,80,92,67,91,95,88,N/A
Westminster - North,CW-CM,Group 11,75,82,83,79,81,42,20,89,82,74,86,82,79,89,65,86,90,82,N/A
Westminster - South,CW-CS,Group 2,79,79,85,80,82,54,29,91,79,67,82,86,80,88,65,88,94,83,N/A
