neighbourhood,The police in your area treat everyone fairly regardless of who they are,The police in your area listen to the concerns of local people,"Taking everything into account, how good a job do you think the police in your area are doing?",How confident are you that the police in your area use their stop and search powers fairly?,The police in your area treat everyone fairly regardless of who they are,The police in your area listen to the concerns of local people,"Taking everything into account, how good a job do you think the police in your area are doing?",How confident are you that the police in your area use their stop and search powers fairly?,The police in your area treat everyone fairly regardless of who they are,The police in your area listen to the concerns of local people,"Taking everything into account, how good a job do you think the police in your area are doing?",How confident are you that the police in your area use their stop and search powers fairly?
Harrow - East,75,61,53,80,81,69,56,81,67,60,56,63
Harrow - West,79,66,56,85,80,69,62,81,72,68,61,64
Havering - Central,86,75,72,88,85,91,76,87,68,75,65,72
Havering - North,83,67,60,86,84,63,73,78,66,63,67,64
Havering - South,85,75,62,88,76,77,70,79,72,83,63,63
Hillingdon - Hayes,68,56,47,82,80,69,64,84,70,61,57,61
Hillingdon - North,,,,,,,,,,,,
Hillingdon - Uxbridge,76,64,60,80,81,69,57,73,74,68,54,64
Hillingdon - West Drayton,72,54,48,82,71,66,59,74,62,78,58,59
Hounslow - Central,,,,,,,,,,,,
Hounslow - Chiswick,75,66,63,82,86,67,61,70,86,76,67,63
Hounslow - East,,,,,,,,,,,,
Hounslow - Feltham,80,65,57,83,84,78,67,74,63,67,72,49
Hounslow - Heston,82,61,53,77,80,72,63,79,71,72,59,63
Hounslow - Hounslow,78,69,63,83,84,72,61,79,71,73,66,79
Hounslow - North,,,,,,,,,,,,
Hounslow - West,,,,,,,,,,,,
Islington - East,60,69,54,51,68,66,53,51,61,70,50,52
Islington - North,67,70,55,60,77,74,43,54,56,69,52,39
Islington - South,65,71,57,70,73,71,63,63,57,73,55,49
Islington - West,66,70,59,64,76,72,54,67,57,61,59,38
Kensington and Chelsea - Chelsea,84,84,74,78,83,88,69,81,67,74,70,55
Kensington and Chelsea - Kensington,80,87,75,81,86,82,85,87,78,85,70,60
Kensington and Chelsea - Notting Hill,80,84,74,76,86,76,72,75,68,70,66,56
Kingston upon Thames - North,79,70,69,84,81,72,77,83,69,69,70,64
Kingston upon Thames - South,,,,,,,,,,,,
Lambeth - Central,61,67,66,61,82,85,70,76,54,64,53,43
Lambeth - North,65,66,61,63,87,69,64,69,64,70,55,50
Lambeth - South,68,69,58,73,80,78,57,76,66,75,59,56
Lewisham - Central,72,74,69,72,75,75,68,73,66,72,58,50
Lewisham - North,67,72,61,64,72,68,62,79,59,67,59,53
Lewisham - South,74,66,55,77,88,84,67,79,65,68,54,57
Merton - Mitcham,75,67,53,79,80,81,63,84,62,70,58,57
Merton - Morden,79,72,70,87,90,78,71,75,73,82,67,54
Merton - Wimbledon,,,,,,,,,,,,
Newham - Central,82,78,60,80,82,76,60,77,72,79,55,59
Newham - East,74,70,49,85,81,73,61,79,68,68,53,55
Newham - South,79,77,62,82,86,85,67,76,79,78,68,71
Newham - West,71,69,53,65,83,80,63,80,75,78,65,71
Redbridge - Central,77,68,59,81,83,73,61,75,66,81,61,63
Redbridge - South,75,66,51,83,81,68,63,78,72,71,56,56
Redbridge - West,81,72,62,84,85,75,60,78,67,72,60,67
Richmond upon Thames - Richmond,,,,,,,,,,,,
Richmond upon Thames - Teddington,,,,,,,,,,,,
Richmond upon Thames - Twickenham,,,,,,,,,,,,
Southwark - North-East,78,76,61,77,85,78,70,84,66,77,71,55
Southwark - North-West,77,71,75,83,72,71,67,69,73,79,68,61
Southwark - South-East,69,76,62,66,83,67,53,61,67,75,60,64
Southwark - South-West,71,74,72,70,91,84,72,90,72,80,66,60
Sutton - East,80,74,66,86,78,79,72,84,68,64,57,57
Sutton - North,80,73,65,84,81,77,66,85,46,58,64,47
Sutton - West,79,76,73,86,86,87,81,80,79,74,71,69
Tower Hamlets - Bow and Mile End,70,69,59,66,77,75,58,69,77,70,64,58
Tower Hamlets - Bricklane & Globe,71,63,59,69,75,69,50,74,76,81,56,62
Tower Hamlets - Poplar Isle of Dogs,79,73,55,76,81,77,62,73,58,62,53,53
Tower Hamlets - Stepney & Wapping,79,74,66,72,81,74,56,74,83,88,56,61
Waltham Forest - Central,62,53,51,65,81,68,63,76,56,55,44,59
Waltham Forest - North,78,66,60,83,74,65,61,70,64,60,57,53
Waltham Forest - South,69,60,56,69,78,72,56,71,60,62,47,54
Wandsworth - Battersea,71,73,67,75,81,68,67,81,66,77,58,63
Wandsworth - Putney,75,73,66,80,90,79,74,87,55,76,65,42
Wandsworth - Tooting,78,73,67,79,83,74,66,78,63,64,59,42
Westminster - Central,77,79,72,80,79,89,78,80,86,78,74,76
Westminster - North,78,78,66,77,83,77,70,79,74,79,59,59
Westminster - ORB,,,,,,,,,,,,
Westminster - South,82,78,78,81,88,88,84,87,80,70,62,48
Westminster - West End,,,,,,,,,,,,
